trial,deck,gain,loss,probabilities
1,D,50,0,"[('A', 0.560156), ('B', 0.214999), ('D', 0.159538), ('C', 0.065307)]"
2,C,50,0,"[('C', 0.340494), ('A', 0.286196), ('B', 0.211395), ('D', 0.161914)]"
3,B,100,0,"[('B', 0.299818), ('A', 0.283472), ('D', 0.209096), ('C', 0.207614)]"
4,C,60,0,"[('A', 0.358845), ('D', 0.341082), ('C', 0.193984), ('B', 0.106089)]"
5,A,100,0,"[('D', 0.356276), ('C', 0.264255), ('A', 0.207801), ('B', 0.171667)]"
6,D,40,0,"[('D', 0.410862), ('C', 0.332052), ('B', 0.249358), ('A', 0.007727)]"
7,C,40,50,"[('C', 0.573807), ('B', 0.192031), ('D', 0.154803), ('A', 0.079359)]"
8,B,80,0,"[('B', 0.480139), ('C', 0.207788), ('D', 0.167565), ('A', 0.144507)]"
9,B,110,0,"[('C', 0.829367), ('B', 0.062449), ('A', 0.056707), ('D', 0.051478)]"
10,A,120,0,"[('C', 0.401392), ('A', 0.22118), ('D', 0.201038), ('B', 0.176391)]"
11,D,45,0,"[('D', 0.611516), ('C', 0.217075), ('A', 0.091627), ('B', 0.079783)]"
12,C,55,0,"[('C', 0.97908), ('A', 0.010219), ('B', 0.007542), ('D', 0.003159)]"
13,A,80,150,"[('B', 0.61931), ('A', 0.187943), ('D', 0.131705), ('C', 0.061041)]"
14,C,55,50,"[('C', 0.503752), ('B', 0.414375), ('A', 0.042349), ('D', 0.039524)]"
15,D,45,0,"[('B', 0.554462), ('C', 0.211003), ('A', 0.175227), ('D', 0.059307)]"
16,C,45,0,"[('C', 0.862603), ('A', 0.086585), ('B', 0.047242), ('D', 0.00357)]"
17,B,120,0,"[('B', 0.419726), ('A', 0.383082), ('D', 0.188965), ('C', 0.008228)]"
18,D,55,0,"[('B', 0.531073), ('A', 0.324998), ('D', 0.088067), ('C', 0.055862)]"
19,C,50,50,"[('C', 0.793848), ('A', 0.148476), ('B', 0.049833), ('D', 0.007843)]"
