trial,deck,gain,loss,probabilities
1,F,100,0,"[('E', 0.532862), ('G', 0.200476), ('H', 0.19988), ('F', 0.066782)]"
2,E,100,0,"[('G', 0.623989), ('H', 0.242682), ('E', 0.098856), ('F', 0.034473)]"
3,G,50,0,"[('G', 0.386765), ('H', 0.306761), ('E', 0.215892), ('F', 0.090581)]"
4,H,50,0,"[('H', 0.862111), ('F', 0.092079), ('G', 0.033125), ('E', 0.012686)]"
5,E,120,0,"[('H', 0.48384), ('E', 0.26251), ('F', 0.161223), ('G', 0.092427)]"
6,G,60,0,"[('F', 0.323285), ('H', 0.287571), ('G', 0.280763), ('E', 0.108381)]"
7,H,40,0,"[('H', 0.650368), ('F', 0.167016), ('G', 0.098387), ('E', 0.084228)]"
8,E,80,150,"[('E', 0.426478), ('H', 0.21393), ('F', 0.188312), ('G', 0.17128)]"
9,E,90,0,"[('G', 0.404806), ('H', 0.281445), ('F', 0.25207), ('E', 0.061679)]"
10,F,80,0,"[('G', 0.475553), ('F', 0.255565), ('H', 0.181386), ('E', 0.087497)]"
11,E,110,300,"[('G', 0.564586), ('H', 0.39757), ('E', 0.022518), ('F', 0.015326)]"
12,G,40,50,"[('H', 0.374673), ('F', 0.3596), ('G', 0.233955), ('E', 0.031772)]"
13,H,45,0,"[('H', 0.967956), ('E', 0.016239), ('F', 0.010065), ('G', 0.00574)]"
14,H,45,0,"[('E', 0.864441), ('H', 0.058085), ('F', 0.044675), ('G', 0.032798)]"
15,E,100,0,"[('H', 0.572364), ('E', 0.357728), ('F', 0.04491), ('G', 0.024998)]"
16,F,110,0,"[('F', 0.537929), ('G', 0.340144), ('H', 0.115585), ('E', 0.006342)]"
17,E,80,200,"[('E', 0.661668), ('H', 0.203093), ('G', 0.115769), ('F', 0.01947)]"
18,H,55,0,"[('G', 0.514853), ('F', 0.226856), ('H', 0.143914), ('E', 0.114377)]"
19,F,120,0,"[('H', 0.774353), ('E', 0.156622), ('G', 0.034807), ('F', 0.034217)]"
20,H,60,0,"[('E', 0.817325), ('H', 0.146869), ('G', 0.032626), ('F', 0.00318)]"
21,E,120,0,"[('E', 0.892274), ('H', 0.087647), ('F', 0.010127), ('G', 0.009952)]"
22,F,90,0,"[('G', 0.545425), ('F', 0.382603), ('H', 0.071826), ('E', 0.000146)]"
23,H,40,0,"[('H', 0.482081), ('E', 0.475498), ('G', 0.039454), ('F', 0.002967)]"
24,E,110,250,"[('E', 0.9178), ('H', 0.06056), ('F', 0.017792), ('G', 0.003848)]"
25,E,90,350,"[('G', 0.401708), ('H', 0.239598), ('E', 0.238081), ('F', 0.120613)]"
26,H,55,0,"[('H', 0.475435), ('E', 0.219905), ('G', 0.204495), ('F', 0.100165)]"
27,F,100,0,"[('H', 0.489249), ('F', 0.480782), ('E', 0.015616), ('G', 0.014353)]"
28,E,110,0,"[('E', 0.508632), ('H', 0.477779), ('G', 0.011289), ('F', 0.002299)]"
29,F,90,0,"[('F', 0.858097), ('H', 0.099218), ('G', 0.042651), ('E', 3.4e-05)]"
30,H,50,0,"[('H', 0.983466), ('G', 0.008502), ('E', 0.006379), ('F', 0.001653)]"
31,E,130,350,"[('E', 0.758036), ('H', 0.227677), ('F', 0.011622), ('G', 0.002665)]"
32,F,120,0,"[('E', 0.561994), ('H', 0.294921), ('G', 0.109557), ('F', 0.033528)]"
33,H,60,250,"[('H', 0.576163), ('E', 0.409509), ('G', 0.010624), ('F', 0.003704)]"
34,E,90,0,"[('E', 0.652146), ('H', 0.290394), ('F', 0.043729), ('G', 0.013731)]"
35,F,110,1250,"[('F', 0.984045), ('H', 0.01316), ('G', 0.002722), ('E', 7.4e-05)]"
36,G,55,0,"[('H', 0.810877), ('E', 0.112786), ('G', 0.075834), ('F', 0.000503)]"
37,H,55,0,"[('H', 0.766229), ('E', 0.19422), ('F', 0.02437), ('G', 0.015181)]"
38,E,100,250,"[('E', 0.866955), ('H', 0.085742), ('F', 0.044475), ('G', 0.002829)]"
39,G,55,50,"[('E', 0.386087), ('G', 0.219577), ('F', 0.199826), ('H', 0.19451)]"
40,E,120,200,"[('H', 0.966392), ('E', 0.026941), ('G', 0.004051), ('F', 0.002616)]"
41,H,40,0,"[('G', 0.672391), ('H', 0.171531), ('E', 0.078735), ('F', 0.077343)]"
42,E,110,0,"[('E', 0.932597), ('F', 0.03782), ('H', 0.028476), ('G', 0.001106)]"
43,F,80,0,"[('F', 0.986127), ('G', 0.012179), ('H', 0.001686), ('E', 8e-06)]"
44,H,60,0,"[('H', 0.934321), ('E', 0.06466), ('G', 0.000892), ('F', 0.000127)]"
45,E,90,300,"[('E', 0.998868), ('F', 0.000439), ('H', 0.000424), ('G', 0.000269)]"
46,G,45,0,"[('G', 0.595213), ('F', 0.159932), ('H', 0.145026), ('E', 0.099829)]"
47,H,40,0,"[('H', 0.981307), ('E', 0.016743), ('F', 0.001886), ('G', 6.4e-05)]"
48,E,130,150,"[('E', 0.999786), ('F', 0.00017), ('H', 3.6e-05), ('G', 8e-06)]"
49,F,110,0,"[('G', 0.469698), ('F', 0.439668), ('H', 0.077252), ('E', 0.013382)]"
50,H,45,0,"[('H', 0.998477), ('E', 0.00086), ('G', 0.00064), ('F', 2.3e-05)]"
51,E,120,250,"[('E', 0.985045), ('F', 0.013701), ('H', 0.001017), ('G', 0.000237)]"
52,G,50,50,"[('G', 0.994549), ('H', 0.003713), ('F', 0.001471), ('E', 0.000268)]"
53,E,100,0,"[('E', 0.878134), ('H', 0.116205), ('G', 0.003568), ('F', 0.002093)]"
54,F,100,0,"[('F', 0.998062), ('H', 0.001419), ('G', 0.000495), ('E', 2.4e-05)]"
55,H,55,0,"[('H', 0.898779), ('E', 0.094348), ('G', 0.006034), ('F', 0.000839)]"
56,E,120,250,"[('E', 0.991513), ('F', 0.006398), ('H', 0.001121), ('G', 0.000967)]"
57,G,45,0,"[('G', 0.974394), ('F', 0.024806), ('H', 0.000632), ('E', 0.000168)]"
58,H,65,0,"[('H', 0.994076), ('E', 0.00579), ('F', 0.000129), ('G', 6e-06)]"
59,E,140,300,"[('E', 0.997022), ('F', 0.002591), ('H', 0.000359), ('G', 2.7e-05)]"
60,G,60,50,"[('F', 0.989347), ('G', 0.00731), ('H', 0.002765), ('E', 0.000579)]"
61,E,110,0,"[('E', 0.978829), ('H', 0.020031), ('F', 0.001072), ('G', 6.8e-05)]"
62,F,90,0,"[('F', 0.996117), ('H', 0.003856), ('G', 2.5e-05), ('E', 2e-06)]"
63,H,70,0,"[('H', 0.999924), ('G', 3.9e-05), ('E', 3.5e-05), ('F', 3e-06)]"
64,E,110,350,"[('E', 0.999895), ('H', 4.2e-05), ('F', 3.8e-05), ('G', 2.5e-05)]"
65,G,40,50,"[('G', 0.991193), ('F', 0.008671), ('H', 0.000119), ('E', 1.8e-05)]"
66,E,100,0,"[('E', 0.971052), ('H', 0.028714), ('F', 0.000222), ('G', 1.2e-05)]"
67,F,130,1500,"[('F', 0.999855), ('H', 0.000136), ('G', 9e-06), ('E', 1e-06)]"
68,E,120,200,"[('G', 0.947341), ('H', 0.044607), ('E', 0.007772), ('F', 0.00028)]"
69,H,50,0,"[('H', 0.614271), ('G', 0.309495), ('F', 0.04452), ('E', 0.031714)]"
70,E,130,250,"[('E', 0.996507), ('F', 0.001471), ('H', 0.001253), ('G', 0.000769)]"
71,G,55,0,"[('G', 0.998919), ('F', 0.000992), ('H', 8e-05), ('E', 1e-05)]"
72,H,70,275,"[('H', 0.953163), ('E', 0.046409), ('F', 0.000425), ('G', 3e-06)]"
73,E,110,150,"[('E', 0.996476), ('H', 0.003047), ('F', 0.00027), ('G', 0.000207)]"
74,H,60,0,"[('H', 0.460221), ('F', 0.41529), ('G', 0.122863), ('E', 0.001626)]"
75,E,140,250,"[('E', 0.997122), ('F', 0.001659), ('G', 0.000612), ('H', 0.000607)]"
76,G,55,25,"[('G', 0.968855), ('F', 0.030832), ('H', 0.000261), ('E', 5.2e-05)]"
77,E,120,0,"[('E', 0.904718), ('H', 0.091446), ('F', 0.003577), ('G', 0.000258)]"
78,F,120,0,"[('F', 0.999976), ('H', 1.8e-05), ('G', 4e-06), ('E', 2e-06)]"
79,H,55,0,"[('H', 0.951321), ('E', 0.048015), ('G', 0.000541), ('F', 0.000124)]"
80,E,130,350,"[('E', 0.999884), ('F', 9.9e-05), ('G', 1e-05), ('H', 8e-06)]"
81,G,65,75,"[('G', 0.998991), ('F', 0.000996), ('E', 8e-06), ('H', 4e-06)]"
82,H,65,0,"[('E', 0.852296), ('H', 0.147122), ('F', 0.000516), ('G', 6.6e-05)]"
83,E,120,200,"[('E', 0.999485), ('F', 0.000386), ('H', 0.000123), ('G', 7e-06)]"
84,F,130,0,"[('F', 0.897982), ('G', 0.084007), ('H', 0.017876), ('E', 0.000134)]"
85,H,80,0,"[('H', 0.999542), ('G', 0.000279), ('F', 0.00013), ('E', 4.9e-05)]"
86,E,140,250,"[('E', 0.999933), ('H', 4.8e-05), ('G', 1.4e-05), ('F', 5e-06)]"
87,G,45,0,"[('G', 0.99992), ('F', 7.7e-05), ('E', 2e-06), ('H', 1e-06)]"
88,H,40,0,"[('H', 0.982901), ('E', 0.017045), ('F', 5.3e-05), ('G', 1e-06)]"
89,E,130,250,"[('E', 0.999973), ('F', 1.7e-05), ('H', 9e-06), ('G', 1e-06)]"
90,F,110,0,"[('F', 0.561884), ('G', 0.436549), ('H', 0.001108), ('E', 0.000459)]"
91,H,80,0,"[('H', 0.999924), ('E', 6.5e-05), ('G', 7e-06), ('F', 3e-06)]"
92,E,110,150,"[('E', 0.999947), ('H', 3.1e-05), ('G', 1.3e-05), ('F', 1e-05)]"
93,H,40,0,"[('G', 0.983128), ('F', 0.01643), ('H', 0.000337), ('E', 0.000106)]"
94,E,150,0,"[('E', 0.999312), ('F', 0.000448), ('H', 0.000166), ('G', 7.4e-05)]"
95,F,90,0,"[('F', 0.997628), ('G', 0.001939), ('H', 0.000354), ('E', 7.9e-05)]"
96,H,65,0,"[('H', 0.982143), ('E', 0.017741), ('G', 0.000111), ('F', 5e-06)]"
97,E,140,150,"[('E', 0.999955), ('H', 2.1e-05), ('G', 1.6e-05), ('F', 8e-06)]"
98,F,100,0,"[('F', 0.515067), ('G', 0.483765), ('H', 0.001127), ('E', 4.1e-05)]"
