x,subjID,X
3,171,50
1,171,100
2,171,100
4,171,50
1,171,120
2,171,80
3,171,60
1,171,-70
4,171,40
2,171,110
2,171,120
3,171,-10
2,171,90
2,171,100
2,171,90
2,171,120
2,171,-1140
4,171,45
2,171,80
2,171,110
1,171,90
3,171,55
4,171,45
2,171,100
1,171,-190
2,171,90
3,171,5
4,171,55
4,171,60
2,171,-1370
2,171,120
4,171,40
1,171,100
2,171,130
3,171,45
4,171,55
2,171,110
1,171,-120
2,171,90
3,171,0
2,171,100
1,171,120
2,171,120
1,171,-140
2,171,-1630
3,171,45
4,171,50
3,171,10
4,171,-190
2,171,110
3,171,-10
1,171,-260
2,171,140
3,171,55
4,171,55
3,171,30
2,171,130
4,171,40
1,171,110
2,171,100
4,171,60
2,171,110
4,171,40
1,171,-220
2,171,120
4,171,45
1,171,90
2,171,120
4,171,55
2,171,140
1,171,-150
2,171,110
4,171,65
3,171,-10
4,171,70
1,171,-80
2,171,130
4,171,50
2,171,-1860
3,171,45
4,171,-205
2,171,120
4,171,60
2,171,110
4,171,55
1,171,110
4,171,65
2,171,130
3,171,45
4,171,80
1,171,-210
2,171,150
3,171,40
2,171,110
4,171,40
1,171,-20
4,171,80
2,171,150
4,171,40
2,171,120
1,181,100
1,181,120
1,181,-70
1,181,90
1,181,-190
1,181,100
1,181,-120
2,181,100
1,181,120
1,181,-140
4,181,50
1,181,-260
1,181,110
1,181,-220
2,181,80
2,181,110
2,181,120
2,181,90
2,181,100
2,181,90
2,181,120
2,181,-1140
2,181,80
2,181,110
2,181,100
2,181,90
2,181,-1370
3,181,50
3,181,60
3,181,-10
3,181,55
3,181,5
4,181,40
4,181,45
2,181,120
1,181,90
4,181,45
2,181,130
3,181,45
1,181,-150
4,181,55
4,181,60
3,181,0
2,181,110
1,181,-80
3,181,45
2,181,90
4,181,40
4,181,55
4,181,50
4,181,-190
3,181,10
2,181,100
2,181,120
1,181,110
4,181,55
2,181,-1630
3,181,-10
2,181,110
2,181,140
1,181,-210
3,181,55
3,181,30
4,181,40
4,181,60
4,181,40
4,181,45
4,181,55
4,181,65
4,181,70
2,181,130
4,181,50
4,181,-205
3,181,-10
4,181,60
4,181,55
4,181,65
4,181,80
4,181,40
4,181,80
4,181,40
4,181,65
4,181,-245
4,181,60
4,181,65
4,181,75
4,181,60
2,181,100
2,181,110
4,181,65
4,181,-250
2,181,120
2,181,120
2,181,140
4,181,85
4,181,45
4,181,55
4,181,70
4,181,55
2,181,110
4,185,50
4,185,40
3,185,50
4,185,45
1,185,100
2,185,100
1,185,120
1,185,-70
4,185,45
4,185,55
4,185,60
4,185,40
4,185,55
3,185,60
2,185,80
4,185,50
3,185,-10
4,185,-190
1,185,90
1,185,-190
4,185,55
4,185,40
3,185,55
2,185,110
4,185,60
1,185,100
4,185,40
4,185,45
3,185,5
4,185,55
1,185,-120
4,185,65
4,185,70
3,185,45
4,185,50
4,185,-205
3,185,0
1,185,120
1,185,-140
2,185,120
2,185,90
2,185,100
3,185,45
1,185,-260
2,185,90
4,185,60
3,185,10
2,185,120
1,185,110
4,185,55
3,185,-10
2,185,-1140
4,185,65
3,185,55
4,185,80
3,185,30
1,185,-220
2,185,80
3,185,-10
4,185,40
4,185,80
1,185,90
4,185,40
3,185,45
2,185,110
4,185,65
3,185,45
3,185,40
4,185,-245
3,185,25
1,185,-150
2,185,100
4,185,60
4,185,65
4,185,75
3,185,-15
4,185,60
4,185,65
4,185,-250
1,185,-80
1,185,110
1,185,-210
2,185,90
4,185,85
3,185,70
4,185,45
1,185,-20
1,185,-130
4,185,55
3,185,-10
3,185,60
4,185,70
3,185,40
3,185,55
1,185,100
4,185,55
2,185,-1370
4,185,70
4,185,80
3,185,30
1,206,100
3,206,50
2,206,100
4,206,50
2,206,80
1,206,120
2,206,110
1,206,-70
3,206,60
2,206,120
4,206,40
1,206,90
2,206,90
3,206,-10
1,206,-190
2,206,100
4,206,45
2,206,90
3,206,55
1,206,100
3,206,5
2,206,120
2,206,-1140
1,206,-120
4,206,45
3,206,45
2,206,80
1,206,120
2,206,110
3,206,0
1,206,-140
2,206,100
4,206,55
3,206,45
2,206,90
1,206,-260
3,206,10
2,206,-1370
3,206,-10
4,206,60
4,206,40
2,206,120
2,206,130
1,206,110
1,206,-220
2,206,110
4,206,55
3,206,55
1,206,90
2,206,90
1,206,-150
3,206,30
2,206,100
2,206,120
4,206,50
2,206,-1630
4,206,-190
3,206,-10
2,206,110
2,206,140
1,206,-80
3,206,45
4,206,55
2,206,130
3,206,45
1,206,110
1,206,-210
2,206,100
3,206,40
4,206,40
3,206,25
1,206,-20
2,206,110
3,206,-15
2,206,120
3,206,70
4,206,60
2,206,120
3,206,-10
2,206,140
2,206,110
3,206,60
4,206,40
1,206,-130
2,206,130
3,206,40
3,206,55
2,206,-1860
4,206,45
3,206,30
1,206,100
2,206,120
4,206,55
2,206,110
1,206,-130
3,206,15
2,206,130
3,206,10
1,206,-160
4,206,65
3,207,50
4,207,50
2,207,100
1,207,100
2,207,80
1,207,120
3,207,60
1,207,-70
