x,subjID,X
1,gpt_20231227_103031_EFGH,100
3,gpt_20231227_103031_EFGH,50
1,gpt_20231227_103031_EFGH,120
4,gpt_20231227_103031_EFGH,50
3,gpt_20231227_103031_EFGH,60
2,gpt_20231227_103031_EFGH,100
4,gpt_20231227_103031_EFGH,40
4,gpt_20231227_103031_EFGH,45
4,gpt_20231227_103031_EFGH,45
2,gpt_20231227_103031_EFGH,80
4,gpt_20231227_103031_EFGH,55
4,gpt_20231227_103031_EFGH,60
4,gpt_20231227_103031_EFGH,40
3,gpt_20231227_103031_EFGH,-10
4,gpt_20231227_103031_EFGH,55
2,gpt_20231227_103031_EFGH,110
4,gpt_20231227_103031_EFGH,50
4,gpt_20231227_103031_EFGH,-190
3,gpt_20231227_103031_EFGH,55
4,gpt_20231227_103031_EFGH,55
4,gpt_20231227_103031_EFGH,40
4,gpt_20231227_103031_EFGH,60
4,gpt_20231227_103031_EFGH,40
4,gpt_20231227_103031_EFGH,45
2,gpt_20231227_103031_EFGH,120
4,gpt_20231227_103031_EFGH,55
4,gpt_20231227_103031_EFGH,65
4,gpt_20231227_103031_EFGH,70
4,gpt_20231227_103031_EFGH,50
3,gpt_20231227_103031_EFGH,5
4,gpt_20231227_103031_EFGH,-205
1,gpt_20231227_103031_EFGH,-70
3,gpt_20231227_103031_EFGH,45
1,gpt_20231227_103031_EFGH,90
3,gpt_20231227_103031_EFGH,0
3,gpt_20231227_103031_EFGH,45
1,gpt_20231227_103031_EFGH,-190
1,gpt_20231227_103031_EFGH,100
1,gpt_20231227_103031_EFGH,-120
2,gpt_20231227_103031_EFGH,90
2,gpt_20231227_103031_EFGH,100
2,gpt_20231227_103031_EFGH,90
2,gpt_20231227_103031_EFGH,120
4,gpt_20231227_103031_EFGH,60
4,gpt_20231227_103031_EFGH,55
4,gpt_20231227_103031_EFGH,65
4,gpt_20231227_103031_EFGH,80
4,gpt_20231227_103031_EFGH,40
4,gpt_20231227_103031_EFGH,80
4,gpt_20231227_103031_EFGH,40
4,gpt_20231227_103031_EFGH,65
4,gpt_20231227_103031_EFGH,-245
3,gpt_20231227_103031_EFGH,10
3,gpt_20231227_103031_EFGH,-10
1,gpt_20231227_103031_EFGH,120
1,gpt_20231227_103031_EFGH,-140
1,gpt_20231227_103031_EFGH,-260
1,gpt_20231227_103031_EFGH,110
1,gpt_20231227_103031_EFGH,-220
4,gpt_20231227_103031_EFGH,60
4,gpt_20231227_103031_EFGH,65
4,gpt_20231227_103031_EFGH,75
4,gpt_20231227_103031_EFGH,60
4,gpt_20231227_103031_EFGH,65
4,gpt_20231227_103031_EFGH,-250
1,gpt_20231227_103031_EFGH,90
1,gpt_20231227_103031_EFGH,-150
1,gpt_20231227_103031_EFGH,-80
2,gpt_20231227_103031_EFGH,-1140
2,gpt_20231227_103031_EFGH,80
2,gpt_20231227_103031_EFGH,110
2,gpt_20231227_103031_EFGH,100
2,gpt_20231227_103031_EFGH,90
2,gpt_20231227_103031_EFGH,-1370
2,gpt_20231227_103031_EFGH,120
2,gpt_20231227_103031_EFGH,130
2,gpt_20231227_103031_EFGH,110
2,gpt_20231227_103031_EFGH,90
2,gpt_20231227_103031_EFGH,100
2,gpt_20231227_103031_EFGH,120
2,gpt_20231227_103031_EFGH,-1630
1,gpt_20231227_103031_EFGH,110
4,gpt_20231227_103031_EFGH,85
4,gpt_20231227_103031_EFGH,45
4,gpt_20231227_103031_EFGH,55
4,gpt_20231227_103031_EFGH,70
4,gpt_20231227_103031_EFGH,55
4,gpt_20231227_103031_EFGH,70
4,gpt_20231227_103031_EFGH,80
4,gpt_20231227_103031_EFGH,65
4,gpt_20231227_103031_EFGH,70
4,gpt_20231227_103031_EFGH,-270
4,gpt_20231227_103031_EFGH,90
4,gpt_20231227_103031_EFGH,50
4,gpt_20231227_103031_EFGH,60
4,gpt_20231227_103031_EFGH,75
4,gpt_20231227_103031_EFGH,60
4,gpt_20231227_103031_EFGH,75
4,gpt_20231227_103031_EFGH,85
4,gpt_20231227_103031_EFGH,70
3,gpt_20231228_141850_EFGH,50
3,gpt_20231228_141850_EFGH,60
3,gpt_20231228_141850_EFGH,-10
4,gpt_20231228_141850_EFGH,50
3,gpt_20231228_141850_EFGH,55
4,gpt_20231228_141850_EFGH,40
4,gpt_20231228_141850_EFGH,45
4,gpt_20231228_141850_EFGH,45
4,gpt_20231228_141850_EFGH,55
4,gpt_20231228_141850_EFGH,60
4,gpt_20231228_141850_EFGH,40
4,gpt_20231228_141850_EFGH,55
4,gpt_20231228_141850_EFGH,50
4,gpt_20231228_141850_EFGH,-190
2,gpt_20231228_141850_EFGH,100
4,gpt_20231228_141850_EFGH,55
4,gpt_20231228_141850_EFGH,40
4,gpt_20231228_141850_EFGH,60
1,gpt_20231228_141850_EFGH,100
1,gpt_20231228_141850_EFGH,120
1,gpt_20231228_141850_EFGH,-70
1,gpt_20231228_141850_EFGH,90
1,gpt_20231228_141850_EFGH,-190
2,gpt_20231228_141850_EFGH,80
2,gpt_20231228_141850_EFGH,110
2,gpt_20231228_141850_EFGH,120
2,gpt_20231228_141850_EFGH,90
2,gpt_20231228_141850_EFGH,100
2,gpt_20231228_141850_EFGH,90
2,gpt_20231228_141850_EFGH,120
2,gpt_20231228_141850_EFGH,-1140
1,gpt_20231228_141850_EFGH,100
2,gpt_20231228_141850_EFGH,80
2,gpt_20231228_141850_EFGH,110
2,gpt_20231228_141850_EFGH,100
2,gpt_20231228_141850_EFGH,90
2,gpt_20231228_141850_EFGH,-1370
4,gpt_20231228_141850_EFGH,40
4,gpt_20231228_141850_EFGH,45
4,gpt_20231228_141850_EFGH,55
4,gpt_20231228_141850_EFGH,65
4,gpt_20231228_141850_EFGH,70
4,gpt_20231228_141850_EFGH,50
4,gpt_20231228_141850_EFGH,-205
2,gpt_20231228_141850_EFGH,120
1,gpt_20231228_141850_EFGH,-120
1,gpt_20231228_141850_EFGH,120
1,gpt_20231228_141850_EFGH,-140
1,gpt_20231228_141850_EFGH,-260
2,gpt_20231228_141850_EFGH,130
2,gpt_20231228_141850_EFGH,110
2,gpt_20231228_141850_EFGH,90
2,gpt_20231228_141850_EFGH,100
2,gpt_20231228_141850_EFGH,120
4,gpt_20231228_141850_EFGH,60
4,gpt_20231228_141850_EFGH,55
4,gpt_20231228_141850_EFGH,65
4,gpt_20231228_141850_EFGH,80
4,gpt_20231228_141850_EFGH,40
4,gpt_20231228_141850_EFGH,80
4,gpt_20231228_141850_EFGH,40
4,gpt_20231228_141850_EFGH,65
4,gpt_20231228_141850_EFGH,-245
2,gpt_20231228_141850_EFGH,-1630
1,gpt_20231228_141850_EFGH,110
1,gpt_20231228_141850_EFGH,-220
2,gpt_20231228_141850_EFGH,110
4,gpt_20231228_141850_EFGH,60
4,gpt_20231228_141850_EFGH,65
4,gpt_20231228_141850_EFGH,75
4,gpt_20231228_141850_EFGH,60
4,gpt_20231228_141850_EFGH,65
4,gpt_20231228_141850_EFGH,-250
4,gpt_20231228_141850_EFGH,85
2,gpt_20231228_141850_EFGH,140
4,gpt_20231228_141850_EFGH,45
4,gpt_20231228_141850_EFGH,55
4,gpt_20231228_141850_EFGH,70
4,gpt_20231228_141850_EFGH,55
4,gpt_20231228_141850_EFGH,70
4,gpt_20231228_141850_EFGH,80
4,gpt_20231228_141850_EFGH,65
4,gpt_20231228_141850_EFGH,70
4,gpt_20231228_141850_EFGH,-270
2,gpt_20231228_141850_EFGH,130
2,gpt_20231228_141850_EFGH,100
2,gpt_20231228_141850_EFGH,110
2,gpt_20231228_141850_EFGH,120
2,gpt_20231228_141850_EFGH,120
2,gpt_20231228_141850_EFGH,140
4,gpt_20231228_141850_EFGH,90
2,gpt_20231228_141850_EFGH,110
2,gpt_20231228_141850_EFGH,130
4,gpt_20231228_141850_EFGH,50
4,gpt_20231228_141850_EFGH,60
4,gpt_20231228_141850_EFGH,75
4,gpt_20231228_141850_EFGH,60
4,gpt_20231228_141850_EFGH,75
4,gpt_20231228_141850_EFGH,85
4,gpt_20231228_141850_EFGH,70
3,gpt_20231228_111457_EFGH,50
4,gpt_20231228_111457_EFGH,50
1,gpt_20231228_111457_EFGH,100
3,gpt_20231228_111457_EFGH,60
4,gpt_20231228_111457_EFGH,40
3,gpt_20231228_111457_EFGH,-10
1,gpt_20231228_111457_EFGH,120
3,gpt_20231228_111457_EFGH,55
4,gpt_20231228_111457_EFGH,45
2,gpt_20231228_111457_EFGH,100
3,gpt_20231228_111457_EFGH,5
4,gpt_20231228_111457_EFGH,45
1,gpt_20231228_111457_EFGH,-70
4,gpt_20231228_111457_EFGH,55
2,gpt_20231228_111457_EFGH,80
3,gpt_20231228_111457_EFGH,45
1,gpt_20231228_111457_EFGH,90
3,gpt_20231228_111457_EFGH,0
