trial,deck,gain,loss,probabilities
1,H,50,0,"[('E', 0.418913), ('G', 0.290855), ('H', 0.20193), ('F', 0.088301)]"
2,H,40,0,"[('H', 0.547726), ('G', 0.25868), ('F', 0.161997), ('E', 0.031597)]"
3,H,45,0,"[('H', 0.977156), ('G', 0.010136), ('E', 0.007498), ('F', 0.005209)]"
4,H,45,0,"[('H', 0.912014), ('F', 0.04263), ('E', 0.02613), ('G', 0.019226)]"
5,H,55,0,"[('H', 0.976075), ('F', 0.009017), ('E', 0.007715), ('G', 0.007194)]"
6,H,60,0,"[('H', 0.98456), ('E', 0.007943), ('F', 0.004934), ('G', 0.002563)]"
7,H,40,0,"[('H', 0.991015), ('E', 0.005109), ('F', 0.002568), ('G', 0.001308)]"
8,H,55,0,"[('H', 0.997583), ('E', 0.001392), ('F', 0.000621), ('G', 0.000405)]"
9,H,50,0,"[('H', 0.99602), ('E', 0.002426), ('F', 0.00116), ('G', 0.000394)]"
10,H,60,250,"[('H', 0.996245), ('E', 0.002636), ('F', 0.000789), ('G', 0.00033)]"
11,H,55,0,"[('H', 0.702396), ('F', 0.225467), ('E', 0.055896), ('G', 0.016241)]"
12,H,40,0,"[('H', 0.97732), ('F', 0.012205), ('E', 0.008948), ('G', 0.001527)]"
13,H,60,0,"[('H', 0.996261), ('F', 0.001881), ('E', 0.001442), ('G', 0.000416)]"
14,H,40,0,"[('H', 0.9902), ('E', 0.006255), ('F', 0.002807), ('G', 0.000738)]"
15,H,45,0,"[('H', 0.997333), ('E', 0.002112), ('F', 0.000427), ('G', 0.000129)]"
16,H,55,0,"[('H', 0.992637), ('E', 0.007034), ('F', 0.000179), ('G', 0.000149)]"
17,H,65,0,"[('H', 0.99586), ('E', 0.00329), ('F', 0.000746), ('G', 0.000103)]"
18,H,70,0,"[('H', 0.982432), ('E', 0.015628), ('F', 0.001647), ('G', 0.000293)]"
19,H,50,0,"[('H', 0.999766), ('E', 0.000133), ('F', 7.1e-05), ('G', 3e-05)]"
20,H,70,275,"[('H', 0.999519), ('E', 0.000389), ('F', 7.4e-05), ('G', 1.9e-05)]"
21,H,60,0,"[('H', 0.925257), ('E', 0.043109), ('F', 0.021323), ('G', 0.01031)]"
22,H,55,0,"[('H', 0.999379), ('E', 0.000274), ('F', 0.000261), ('G', 8.5e-05)]"
23,H,65,0,"[('H', 0.999622), ('F', 0.00017), ('E', 0.000169), ('G', 3.9e-05)]"
24,H,80,0,"[('H', 0.99957), ('E', 0.000305), ('G', 7e-05), ('F', 5.5e-05)]"
25,H,40,0,"[('H', 0.99975), ('E', 0.000131), ('F', 8.4e-05), ('G', 3.6e-05)]"
26,H,80,0,"[('H', 0.99808), ('E', 0.001406), ('F', 0.00035), ('G', 0.000165)]"
27,H,40,0,"[('H', 0.999814), ('E', 0.000101), ('F', 5.3e-05), ('G', 3.2e-05)]"
28,H,65,0,"[('H', 0.998034), ('E', 0.001563), ('F', 0.000371), ('G', 3.3e-05)]"
29,H,55,300,"[('H', 0.999775), ('E', 0.000135), ('F', 7e-05), ('G', 2e-05)]"
30,H,60,0,"[('H', 0.96209), ('E', 0.027003), ('F', 0.006804), ('G', 0.004103)]"
31,H,65,0,"[('H', 0.99781), ('E', 0.001557), ('F', 0.000319), ('G', 0.000315)]"
32,H,75,0,"[('H', 0.999033), ('E', 0.000605), ('F', 0.000217), ('G', 0.000145)]"
33,H,60,0,"[('H', 0.999686), ('F', 0.000197), ('E', 0.000102), ('G', 1.5e-05)]"
34,H,65,0,"[('H', 0.998772), ('E', 0.000808), ('F', 0.000327), ('G', 9.2e-05)]"
35,H,75,325,"[('H', 0.999923), ('E', 5.3e-05), ('F', 1.9e-05), ('G', 5e-06)]"
36,H,85,0,"[('H', 0.985534), ('E', 0.009373), ('F', 0.003362), ('G', 0.001731)]"
37,H,45,0,"[('H', 0.996532), ('E', 0.002078), ('F', 0.000892), ('G', 0.000498)]"
38,H,55,0,"[('H', 0.998393), ('E', 0.000901), ('F', 0.000619), ('G', 8.6e-05)]"
39,H,70,0,"[('H', 0.998409), ('E', 0.001247), ('G', 0.000172), ('F', 0.000172)]"
40,H,55,0,"[('H', 0.999657), ('E', 0.000228), ('F', 8.6e-05), ('G', 2.8e-05)]"
41,H,70,0,"[('H', 0.999931), ('E', 5.3e-05), ('F', 1.3e-05), ('G', 3e-06)]"
42,H,80,0,"[('H', 0.999944), ('E', 3.4e-05), ('F', 1.9e-05), ('G', 3e-06)]"
43,H,65,0,"[('H', 0.999779), ('E', 0.000131), ('F', 6.8e-05), ('G', 2.2e-05)]"
44,H,70,0,"[('H', 0.999768), ('E', 0.000169), ('F', 5.2e-05), ('G', 1e-05)]"
45,H,80,350,"[('H', 0.999586), ('E', 0.000327), ('F', 6.9e-05), ('G', 1.7e-05)]"
46,H,90,0,"[('H', 0.973388), ('E', 0.017223), ('F', 0.006514), ('G', 0.002875)]"
47,H,50,0,"[('H', 0.999587), ('E', 0.000258), ('F', 8.3e-05), ('G', 7.2e-05)]"
48,H,60,0,"[('H', 0.999461), ('E', 0.000431), ('F', 6.9e-05), ('G', 3.9e-05)]"
49,H,75,0,"[('H', 0.999296), ('E', 0.000556), ('F', 0.000108), ('G', 4e-05)]"
50,H,60,0,"[('H', 0.999266), ('E', 0.000515), ('F', 0.000174), ('G', 4.5e-05)]"
51,H,75,0,"[('H', 0.999561), ('E', 0.000348), ('F', 6.1e-05), ('G', 3e-05)]"
52,H,85,0,"[('H', 0.999765), ('E', 0.000194), ('F', 3.6e-05), ('G', 5e-06)]"
53,H,70,0,"[('H', 0.999744), ('E', 0.000214), ('F', 3.2e-05), ('G', 1e-05)]"
54,H,75,0,"[('H', 0.997591), ('E', 0.001988), ('F', 0.000275), ('G', 0.000145)]"
55,H,85,0,"[('H', 0.999946), ('E', 4.9e-05), ('F', 4e-06), ('G', 1e-06)]"
56,H,95,0,"[('H', 0.999973), ('E', 2.1e-05), ('F', 6e-06), ('G', 1e-06)]"
57,H,55,0,"[('H', 0.999758), ('E', 0.000227), ('F', 1.2e-05), ('G', 3e-06)]"
