trial,deck,gain,loss,probabilities
1,A,100,0,"[('A', 0.578401), ('B', 0.203463), ('D', 0.142153), ('C', 0.075983)]"
2,B,100,0,"[('B', 0.570796), ('A', 0.399229), ('D', 0.020086), ('C', 0.00989)]"
3,D,50,0,"[('C', 0.314959), ('A', 0.291401), ('B', 0.273566), ('D', 0.120073)]"
4,C,50,0,"[('C', 0.624053), ('B', 0.14333), ('A', 0.118887), ('D', 0.11373)]"
5,A,120,0,"[('C', 0.465739), ('B', 0.280415), ('D', 0.140678), ('A', 0.113168)]"
6,C,60,0,"[('B', 0.449688), ('C', 0.282765), ('D', 0.253982), ('A', 0.013565)]"
7,D,40,0,"[('C', 0.487674), ('D', 0.236566), ('B', 0.202495), ('A', 0.073265)]"
8,C,40,50,"[('C', 0.344664), ('B', 0.320151), ('A', 0.294207), ('D', 0.040978)]"
9,B,80,0,"[('B', 0.421127), ('A', 0.212752), ('C', 0.204633), ('D', 0.161489)]"
10,B,110,0,"[('B', 0.557846), ('A', 0.189107), ('C', 0.163651), ('D', 0.089396)]"
11,B,120,0,"[('B', 0.402256), ('A', 0.223154), ('C', 0.194539), ('D', 0.180051)]"
12,B,90,0,"[('B', 0.540169), ('D', 0.189253), ('C', 0.141153), ('A', 0.129425)]"
13,D,45,0,"[('B', 0.679235), ('D', 0.190276), ('C', 0.072342), ('A', 0.058147)]"
14,C,55,0,"[('C', 0.744805), ('D', 0.176606), ('A', 0.061016), ('B', 0.017573)]"
15,C,55,50,"[('C', 0.772057), ('D', 0.121118), ('A', 0.071533), ('B', 0.035292)]"
16,B,100,0,"[('C', 0.62681), ('B', 0.238858), ('A', 0.120237), ('D', 0.014094)]"
17,B,90,0,"[('B', 0.909667), ('A', 0.054205), ('D', 0.030307), ('C', 0.005821)]"
18,B,120,0,"[('B', 0.731358), ('D', 0.201335), ('A', 0.057083), ('C', 0.010224)]"
19,C,45,0,"[('B', 0.759084), ('D', 0.104719), ('C', 0.07129), ('A', 0.064907)]"
20,C,50,50,"[('C', 0.610987), ('D', 0.213396), ('A', 0.143434), ('B', 0.032184)]"
21,C,45,0,"[('B', 0.613839), ('C', 0.13901), ('A', 0.126188), ('D', 0.120963)]"
22,C,60,50,"[('C', 0.505947), ('D', 0.372491), ('A', 0.09902), ('B', 0.022542)]"
23,C,40,50,"[('C', 0.661998), ('B', 0.200924), ('A', 0.074471), ('D', 0.062607)]"
24,A,80,150,"[('C', 0.549017), ('B', 0.242983), ('A', 0.188302), ('D', 0.019699)]"
