,x,X,n_trials,a_rew,a_pun,K,theta,omega_f,omega_p,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,Accuracy
0,"[3, 1, 0, 1, 1, 2, 2, 3, 0, 1, 2, 3, 3, 3, 3, 0, 3, 1, 2, 1, 2, 0, 0, 0, 3, 0, 1, 2, 1, 3, 0, 1, 3, 2, 2, 0, 0, 2, 2, 0, 2, 0, 2, 3, 2, 2, 2, 2, 2, 0, 2, 2, 0, 2, 2, 3, 3, 0, 0, 2, 3, 0, 0, 3, 2, 2, 2, 3, 3, 3, 2, 2, 0, 3, 3, 2, 0, 2, 3, 2, 3, 3, 2, 0, 3, 2, 2, 3, 2, 0, 2, 3, 2, 2, 0, 3, 0, 3, 0, 2]","[0.5, 1.0, 1.0, 0.8, 1.1, 0.5, 0.6000000000000001, 0.4, 1.2, 1.2, -0.1, 0.45, 0.45, 0.55, 0.6000000000000001, -0.7000000000000001, 0.4, 0.9, 0.55, 1.0, 0.05, 0.9, -1.9, 1.0, 0.55, -1.2, 0.9, 0.45, 1.2, 0.5, 1.2, -11.4, -1.9, 0.0, 0.45, -1.4, -2.6, 0.1, -0.1, 1.1, 0.55, -2.2, 0.30000000000000004, 0.55, -0.1, 0.45, 0.45, 0.4, 0.25, 0.9, -0.15, 0.7000000000000001, -1.5, -0.1, 0.6000000000000001, 0.4, 0.6000000000000001, -0.8, 1.1, 0.4, 0.4, -2.1, -0.2, 0.45, 0.55, 0.30000000000000004, 0.15, 0.55, 0.65, 0.7000000000000001, 0.1, 0.55, -1.3, 0.5, -2.05, 0.4, 1.0, -0.35000000000000003, 0.6000000000000001, 0.30000000000000004, 0.55, 0.65, 0.4, -1.3, 0.8, 0.75, 0.30000000000000004, 0.4, 0.35000000000000003, -1.6, 0.45, 0.8, 0.65, -0.2, 1.1, 0.4, -2.4, 0.65, 1.0, 0.5]",100,0.7723430426,0.9742029480000001,0.4534147606,0.3797395428,-1.4311365478,-0.9269511746,3,1,0,1,1,2,2,3,0,1,2,3,3,3,3,0,3,1,2,1,2,0,0,0,3,0,1,2,1,3,0,1,3,2,2,0,0,2,2,0,2,0,2,3,2,2,2,2,2,0,2,2,0,2,2,3,3,0,0,2,3,0,0,3,2,2,2,3,3,3,2,2,0,3,3,2,0,2,3,2,3,3,2,0,3,2,2,3,2,0,2,3,2,2,0,3,0,3,0,2,42.0
1,"[2, 1, 2, 0, 0, 1, 0, 0, 2, 3, 2, 1, 2, 3, 1, 0, 1, 0, 3, 1, 0, 3, 2, 1, 0, 0, 0, 0, 2, 1, 0, 3, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 3, 0, 3, 0, 3, 2, 2, 2, 3, 0, 2, 3, 1, 1, 3, 0, 2, 1, 2, 1, 3, 2, 1, 2, 0, 3, 3, 2, 2, 2, 2, 2, 3, 2, 3, 3, 3, 0, 2, 2, 2, 2, 0, 0, 0, 2, 2, 0, 3, 0, 2, 1, 0, 3, 1, 1, 2]","[0.5, 1.0, 0.6000000000000001, 1.0, 1.2, 0.8, -0.7000000000000001, 0.9, -0.1, 0.5, 0.55, 1.1, 0.05, 0.4, 1.2, -1.9, 0.9, 1.0, 0.45, 1.0, -1.2, 0.45, 0.45, 0.9, 1.2, -1.4, -2.6, 1.1, 0.0, 1.2, -2.2, 0.55, 0.45, 0.9, -1.5, -0.8, 1.1, -11.4, -2.1, -0.2, -1.3, 1.0, 0.1, 0.6000000000000001, -1.3, 0.4, -1.6, 0.55, -0.1, 0.55, 0.30000000000000004, 0.5, 1.1, -0.1, -1.9, 0.8, 1.1, 0.55, -2.4, 0.45, 1.0, 0.45, 0.9, 0.4, 0.4, -13.7, 0.25, 1.0, 0.6000000000000001, 0.4, -0.15, 0.7000000000000001, -0.1, 0.6000000000000001, 0.4, 0.45, 0.55, 0.55, 0.65, 0.7000000000000001, -0.8, 0.30000000000000004, 0.15, 0.1, 0.55, -1.2, -0.4, -1.1, 0.4, -0.35000000000000003, 1.2, 0.5, -2.2, 0.30000000000000004, 1.2, -0.8, -2.05, 1.3, 1.1, 0.4]",100,0.8538051828000001,0.5187070149,0.8884002919,0.23381820420000002,-0.0813787889,0.6232347971000001,2,1,2,0,0,1,0,0,2,3,2,1,2,3,1,0,1,0,3,1,0,3,2,1,0,0,0,0,2,1,0,3,2,0,0,0,0,1,0,0,0,0,2,3,0,3,0,3,2,2,2,3,0,2,3,1,1,3,0,2,1,2,1,3,2,1,2,0,3,3,2,2,2,2,2,3,2,3,3,3,0,2,2,2,2,0,0,0,2,2,0,3,0,2,1,0,3,1,1,2,38.0
2,"[0, 0, 2, 3, 0, 2, 3, 2, 3, 1, 1, 3, 2, 0, 0, 3, 0, 3, 0, 1, 1, 0, 3, 2, 1, 2, 0, 0, 2, 2, 3, 1, 1, 2, 2, 2, 1, 2, 3, 1, 0, 3, 2, 3, 2, 0, 3, 2, 3, 0, 2, 2, 2, 0, 2, 1, 0, 2, 3, 2, 3, 2, 3, 2, 2, 3, 2, 3, 3, 2, 3, 2, 3, 2, 0, 3, 2, 2, 3, 2, 3, 2, 3, 2, 2, 2, 3, 2, 2, 3, 2, 2, 3, 2, 0, 3, 0, 2, 2, 3]","[1.0, 1.2, 0.5, 0.5, -0.7000000000000001, 0.6000000000000001, 0.4, -0.1, 0.45, 1.0, 0.8, 0.45, 0.55, 0.9, -1.9, 0.55, 1.0, 0.6000000000000001, -1.2, 1.1, 1.2, 1.2, 0.4, 0.05, 0.9, 0.45, -1.4, -2.6, 0.0, 0.45, 0.55, 1.0, 0.9, 0.1, -0.1, 0.55, 1.2, 0.30000000000000004, 0.5, -11.4, 1.1, -1.9, -0.1, 0.55, 0.45, -2.2, 0.4, 0.45, 0.6000000000000001, 0.9, 0.4, 0.25, -0.15, -1.5, 0.7000000000000001, 0.8, -0.8, -0.1, 0.4, 0.6000000000000001, 0.45, 0.4, 0.55, 0.55, 0.30000000000000004, 0.65, 0.15, 0.7000000000000001, 0.5, 0.1, -2.05, 0.55, 0.6000000000000001, 0.4, 1.1, 0.55, -0.35000000000000003, 0.30000000000000004, 0.65, 0.4, 0.8, 0.75, 0.4, 0.30000000000000004, 0.35000000000000003, 0.45, 0.8, 0.65, -0.2, 0.4, 0.5, -0.05, 0.65, 0.1, -2.1, -2.45, -0.2, 0.45, 0.8, 0.6000000000000001]",100,0.0315313683,0.1122839721,4.1901680519,4.3132236389,-0.6690257093,-1.5659247055,0,0,2,3,0,2,3,2,3,1,1,3,2,0,0,3,0,3,0,1,1,0,3,2,1,2,0,0,2,2,3,1,1,2,2,2,1,2,3,1,0,3,2,3,2,0,3,2,3,0,2,2,2,0,2,1,0,2,3,2,3,2,3,2,2,3,2,3,3,2,3,2,3,2,0,3,2,2,3,2,3,2,3,2,2,2,3,2,2,3,2,2,3,2,0,3,0,2,2,3,48.0
3,"[2, 2, 0, 3, 2, 0, 2, 0, 0, 2, 3, 0, 0, 3, 1, 0, 3, 1, 0, 1, 2, 3, 0, 0, 1, 3, 2, 1, 3, 1, 2, 3, 1, 2, 3, 1, 3, 3, 1, 3, 2, 2, 3, 0, 3, 2, 0, 0, 3, 2, 2, 0, 0, 0, 3, 2, 0, 0, 0, 0, 3, 2, 0, 3, 0, 0, 3, 2, 0, 3, 3, 2, 2, 0, 3, 2, 2, 0, 0, 0, 0, 2, 3, 3, 2, 3, 0, 2, 0, 3, 0, 3, 2, 0, 0, 2, 3, 2, 3, 2]","[0.5, 0.6000000000000001, 1.0, 0.5, -0.1, 1.2, 0.55, -0.7000000000000001, 0.9, 0.05, 0.4, -1.9, 1.0, 0.45, 1.0, -1.2, 0.45, 0.8, 1.2, 1.1, 0.45, 0.55, -1.4, -2.6, 1.2, 0.6000000000000001, 0.0, 0.9, 0.4, 1.0, 0.45, 0.55, 0.9, 0.1, 0.5, 1.2, -1.9, 0.55, -11.4, 0.4, -0.1, 0.55, 0.6000000000000001, 1.1, 0.4, 0.30000000000000004, -2.2, 0.9, 0.45, -0.1, 0.45, -1.5, -0.8, 1.1, 0.55, 0.45, -2.1, -0.2, -1.3, 1.0, 0.65, 0.4, -1.3, 0.7000000000000001, -1.6, 1.1, 0.5, 0.25, -2.4, -2.05, 0.6000000000000001, -0.15, 0.7000000000000001, 1.0, 0.55, -0.1, 0.6000000000000001, -0.8, -1.2, -0.4, -1.1, 0.4, 0.65, 0.8, 0.55, 0.4, 1.2, 0.30000000000000004, -2.2, 0.8, -0.8, 0.4, 0.15, -1.1, -1.2, 0.1, 0.65, 0.55, -2.45, 0.4]",100,0.9580757366,0.3748447744,3.9201643631,3.329634203,-1.3824559254,-1.0317704951,2,2,0,3,2,0,2,0,0,2,3,0,0,3,1,0,3,1,0,1,2,3,0,0,1,3,2,1,3,1,2,3,1,2,3,1,3,3,1,3,2,2,3,0,3,2,0,0,3,2,2,0,0,0,3,2,0,0,0,0,3,2,0,3,0,0,3,2,0,3,3,2,2,0,3,2,2,0,0,0,0,2,3,3,2,3,0,2,0,3,0,3,2,0,0,2,3,2,3,2,72.0
4,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0.5, 0.4, 0.45, 0.45, 0.55, 0.6000000000000001, 0.4, 0.55, 0.5, -1.9, 1.0, 1.2, -0.7000000000000001, 0.5, 0.6000000000000001, -0.1, 1.0, 0.8, 1.1, 1.2, 0.9, 1.0, 0.9, 1.2, -11.4, 0.55, 0.05, 0.45, 0.0, 0.45, 0.1, -0.1, 0.55, 0.30000000000000004, -0.1, 0.9, -1.9, 0.45, 0.45, 0.4, 0.25, -0.15, 0.7000000000000001, -0.1, 0.55, 0.4, 0.6000000000000001, 0.4, 0.45, 0.55, 0.65, 0.7000000000000001, 0.5, -2.05, 0.6000000000000001, 0.4, 0.55, 0.30000000000000004, 0.15, 0.1, 0.55, 0.4, -0.35000000000000003, 0.6000000000000001, 0.55, 0.65, 0.8, 0.4, 0.8, 0.4, 0.65, -2.45, 0.30000000000000004, 0.4, 0.75, 0.30000000000000004, 0.35000000000000003, 0.45, 0.65, -0.2, 0.5, -0.05, 0.1, 0.45, 0.8, 0.35000000000000003, 0.4, 0.5, 0.45, -0.15, 0.55, 0.0, 0.15, 0.5, 0.6000000000000001, 0.4, 0.45, 0.55, 0.5, -0.1]",100,0.9706713159,0.7458527094,3.2325836838,3.1665275879,1.9309766861000002,1.4950637482,3,3,3,3,3,3,3,3,3,3,0,0,0,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,95.0
5,"[1, 2, 0, 1, 2, 0, 0, 2, 2, 1, 1, 2, 3, 1, 3, 3, 0, 2, 3, 1, 3, 2, 1, 0, 1, 3, 1, 3, 3, 3, 0, 2, 3, 3, 3, 3, 0, 0, 3, 2, 3, 2, 2, 3, 0, 0, 2, 2, 2, 3, 2, 0, 3, 3, 0, 0, 3, 3, 0, 2, 0, 0, 3, 0, 2, 3, 2, 2, 3, 0, 0, 0, 2, 3, 2, 0, 0, 2, 3, 0, 3, 2, 0, 3, 3, 2, 3, 2, 3, 3, 2, 3, 3, 3, 3, 0, 2, 3, 0, 2]","[1.0, 0.5, 1.0, 0.8, 0.6000000000000001, 1.2, -0.7000000000000001, -0.1, 0.55, 1.1, 1.2, 0.05, 0.5, 0.9, 0.4, 0.45, 0.9, 0.45, 0.45, 1.0, 0.55, 0.0, 0.9, -1.9, 1.2, 0.6000000000000001, -11.4, 0.4, 0.55, 0.5, 1.0, 0.45, -1.9, 0.55, 0.4, 0.6000000000000001, -1.2, 1.2, 0.4, 0.1, 0.45, -0.1, 0.55, 0.55, -1.4, -2.6, 0.30000000000000004, -0.1, 0.45, 0.65, 0.45, 1.1, 0.7000000000000001, 0.5, -2.2, 0.9, -2.05, 0.6000000000000001, -1.5, 0.4, -0.8, 1.1, 0.55, -2.1, 0.25, 0.65, -0.15, 0.7000000000000001, 0.8, -0.2, -1.3, 1.0, -0.1, 0.4, 0.6000000000000001, -1.3, -1.6, 0.4, 0.8, 1.1, 0.4, 0.55, -2.4, 0.65, -2.45, 0.30000000000000004, 0.6000000000000001, 0.15, 0.65, 0.75, 0.1, 0.6000000000000001, 0.65, -2.5, 0.85, 1.0, 0.55, 0.45, -0.8, 0.4]",100,0.7411915886,0.5889769043,4.5550884294,1.047458892,-1.5440805832,-0.7670650185,1,2,0,1,2,0,0,2,2,1,1,2,3,1,3,3,0,2,3,1,3,2,1,0,1,3,1,3,3,3,0,2,3,3,3,3,0,0,3,2,3,2,2,3,0,0,2,2,2,3,2,0,3,3,0,0,3,3,0,2,0,0,3,0,2,3,2,2,3,0,0,0,2,3,2,0,0,2,3,0,3,2,0,3,3,2,3,2,3,3,2,3,3,3,3,0,2,3,0,2,52.0
6,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0.5, 0.6000000000000001, -0.1, 0.55, 0.05, 0.45, 0.0, 0.45, 0.1, -0.1, 0.55, 0.30000000000000004, -0.1, 0.45, 0.45, 0.4, 0.25, -0.15, 0.7000000000000001, -0.1, 0.6000000000000001, 0.4, 0.55, 0.30000000000000004, 0.15, 0.1, 0.55, 0.4, -0.35000000000000003, 0.30000000000000004, 0.4, 0.75, 0.30000000000000004, 0.35000000000000003, 0.45, 0.65, -0.2, 0.5, -0.05, 0.1, 0.45, 0.8, 0.35000000000000003, 0.4, 0.5, 0.45, -0.15, 0.55, 0.0, 0.15, 0.5, 0.6000000000000001, 0.4, 0.45, 0.55, 0.5, -0.1, 1.0, 1.2, -0.7000000000000001, 0.9, -1.9, 1.0, -1.2, 1.2, -1.4, -2.6, 1.1, -2.2, 0.9, -1.5, 1.0, 0.8, 1.1, 1.2, 0.9, 1.0, 0.9, 1.2, -11.4, -0.8, 1.1, -2.1, -0.2, -1.3, 1.0, -1.3, -1.6, 1.1, -2.4, 1.0, -0.8, -1.2, -0.4, -1.1, 1.2, -2.2, -0.8, 0.8, 1.1]",100,0.9572308158,0.1268107021,4.2781946517,3.7321605842,1.1229197849,0.5172833182000001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,95.0
7,"[0, 3, 0, 2, 1, 0, 0, 2, 1, 3, 1, 1, 2, 3, 3, 0, 1, 3, 2, 0, 1, 0, 1, 1, 2, 1, 0, 3, 2, 3, 2, 0, 0, 2, 0, 3, 2, 3, 3, 0, 0, 0, 0, 0, 2, 2, 2, 3, 3, 2, 2, 3, 3, 0, 3, 2, 3, 0, 2, 3, 0, 0, 3, 0, 2, 3, 2, 2, 3, 2, 2, 2, 0, 2, 2, 3, 2, 0, 0, 3, 2, 0, 2, 3, 0, 0, 0, 0, 3, 0, 3, 0, 0, 2, 0, 1, 2, 3, 2, 3]","[1.0, 0.5, 1.2, 0.5, 1.0, -0.7000000000000001, 0.9, 0.6000000000000001, 0.8, 0.4, 1.1, 1.2, -0.1, 0.45, 0.45, -1.9, 0.9, 0.55, 0.55, 1.0, 1.0, -1.2, 0.9, 1.2, 0.05, -11.4, 1.2, 0.6000000000000001, 0.45, 0.4, 0.0, -1.4, -2.6, 0.45, 1.1, 0.55, 0.1, 0.5, -1.9, -2.2, 0.9, -1.5, -0.8, 1.1, -0.1, 0.55, 0.30000000000000004, 0.55, 0.4, -0.1, 0.45, 0.6000000000000001, 0.4, -2.1, 0.45, 0.45, 0.55, -0.2, 0.4, 0.65, -1.3, 1.0, 0.7000000000000001, -1.3, 0.25, 0.5, -0.15, 0.7000000000000001, -2.05, -0.1, 0.6000000000000001, 0.4, -1.6, 0.55, 0.30000000000000004, 0.6000000000000001, 0.15, 1.1, -2.4, 0.55, 0.1, 1.0, 0.55, 0.65, -0.8, -1.2, -0.4, -1.1, 0.8, 1.2, 0.4, -2.2, -0.8, 0.4, -1.1, 0.8, -0.35000000000000003, 0.8, 0.30000000000000004, 0.4]",100,0.5900663584,0.46096021340000004,2.8396696915,1.1466533378000001,-1.5987128348000001,-1.1757595052,0,3,0,2,1,0,0,2,1,3,1,1,2,3,3,0,1,3,2,0,1,0,1,1,2,1,0,3,2,3,2,0,0,2,0,3,2,3,3,0,0,0,0,0,2,2,2,3,3,2,2,3,3,0,3,2,3,0,2,3,0,0,3,0,2,3,2,2,3,2,2,2,0,2,2,3,2,0,0,3,2,0,2,3,0,0,0,0,3,0,3,0,0,2,0,1,2,3,2,3,42.0
8,"[0, 2, 0, 0, 2, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 3, 3, 3, 3, 2, 2, 2, 3, 2, 3, 3, 3, 0, 2, 3, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[1.0, 0.5, 1.2, -0.7000000000000001, 0.6000000000000001, -0.1, 1.0, 0.8, 1.1, 1.2, 0.9, 1.0, 0.5, 0.9, 1.2, -11.4, 0.55, 0.4, 0.45, 0.45, 0.55, 0.05, 0.45, 0.0, 0.6000000000000001, 0.45, 0.4, 0.55, 0.5, 0.9, 0.1, -1.9, -0.1, -1.9, 0.55, 0.30000000000000004, -0.1, 0.45, 0.45, 0.4, 0.25, -0.15, 1.0, 0.7000000000000001, -0.1, -1.2, 0.6000000000000001, 0.4, 0.55, 0.30000000000000004, 0.15, 0.1, 0.55, 0.4, -0.35000000000000003, 0.30000000000000004, 0.4, 0.75, 0.30000000000000004, 0.35000000000000003, 0.45, 0.65, -0.2, 0.5, -0.05, 1.2, -1.4, 0.1, 0.45, 0.8, 0.35000000000000003, 0.4, 0.5, 0.45, -0.15, 0.55, 0.0, 0.15, 0.5, 0.6000000000000001, 0.4, 0.45, 0.55, 0.5, -0.1, 0.6000000000000001, 0.05, 0.2, -2.6, 0.55, 0.4, 0.6000000000000001, 0.4, 0.45, 0.55, 0.65, 0.7000000000000001, 0.5, -2.05, 0.6000000000000001]",100,0.5236880666,0.8814698040000001,1.5983728282,3.1794064999,0.3080444135,-0.7395300013,0,2,0,0,2,2,1,1,1,1,1,1,3,1,1,1,2,3,3,3,3,2,2,2,3,2,3,3,3,0,2,3,2,0,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,3,3,3,3,3,3,3,3,3,3,3,79.0
9,"[1, 1, 3, 0, 2, 0, 0, 2, 2, 1, 3, 0, 2, 0, 0, 1, 3, 3, 2, 2, 3, 1, 3, 3, 1, 0, 0, 3, 3, 2, 0, 0, 1, 1, 3, 3, 2, 2, 0, 0, 2, 1, 0, 2, 0, 0, 1, 0, 2, 1, 0, 1, 1, 1, 1, 2, 3, 1, 2, 2, 3, 0, 0, 3, 0, 0, 2, 1, 0, 2, 2, 0, 2, 0, 0, 0, 3, 2, 0, 0, 0, 0, 2, 2, 2, 1, 0, 0, 2, 2, 3, 1, 1, 1, 3, 3, 3, 3, 1, 1]","[1.0, 0.8, 0.5, 1.0, 0.5, 1.2, -0.7000000000000001, 0.6000000000000001, -0.1, 1.1, 0.4, 0.9, 0.55, -1.9, 1.0, 1.2, 0.45, 0.45, 0.05, 0.45, 0.55, 0.9, 0.6000000000000001, 0.4, 1.0, -1.2, 1.2, 0.55, 0.5, 0.0, -1.4, -2.6, 0.9, 1.2, -1.9, 0.55, 0.45, 0.1, 1.1, -2.2, -0.1, -11.4, 0.9, 0.55, -1.5, -0.8, 0.8, 1.1, 0.30000000000000004, 1.1, -2.1, 1.0, 0.9, -13.7, 1.2, -0.1, 0.4, 1.3, 0.45, 0.45, 0.6000000000000001, -0.2, -1.3, 0.4, 1.0, -1.3, 0.4, 1.1, -1.6, 0.25, -0.15, 1.1, 0.7000000000000001, -2.4, 1.0, -0.8, 0.45, -0.1, -1.2, -0.4, -1.1, 1.2, 0.6000000000000001, 0.4, 0.55, 0.9, -2.2, -0.8, 0.30000000000000004, 0.15, 0.55, 1.0, 1.2, -16.3, 0.65, 0.7000000000000001, 0.5, -2.05, 1.1, 1.4]",100,0.5281768242,0.10192941500000001,4.2012518352,0.0719738511,1.4565076112,0.6561154285,1,1,3,0,2,0,0,2,2,1,3,0,2,0,0,1,3,3,2,2,3,1,3,3,1,0,0,3,3,2,0,0,1,1,3,3,2,2,0,0,2,1,0,2,0,0,1,0,2,1,0,1,1,1,1,2,3,1,2,2,3,0,0,3,0,0,2,1,0,2,2,0,2,0,0,0,3,2,0,0,0,0,2,2,2,1,0,0,2,2,3,1,1,1,3,3,3,3,1,1,31.0
