"true_mu_a_rew","true_mu_a_pun","true_mu_K","true_mu_omega_f","true_mu_omega_p","infer_mu_a_rew","infer_mu_a_pun","infer_mu_K","infer_mu_omega_f","infer_mu_omega_p","true_lambda_a_rew","true_lambda_a_pun","true_lambda_K","true_lambda_omega_f","true_lambda_omega_p","infer_lambda_a_rew","infer_lambda_a_pun","infer_lambda_K","infer_lambda_omega_f","infer_lambda_omega_p"
0.307121013,0.3566487591,0.2911075708,1.0235031361,-1.7700649852,0.288433068196597,0.325019395126556,0.933301140260799,0.638414646664391,-1.19753779313131,11.8497831851688,15.216389791343,6.68440308855946,3.71642558042351,2.66565768182452,93.2374335701581,140.196408150887,0.593851995429691,15.7943332147974,2.34297611093217
0.6077713495,0.2142965672,0.4324554331,0.5006938398,-1.8985013066,0.563799271597888,0.208682902868817,0.653104011202091,0.269829041171034,-2.01838042387808,33.5105158294143,10.146749866038,6.72304211782582,13.3004229087591,21.8436471579248,78.1185126381116,80.0687406976719,0.748927011282275,12.477624247901,0.970820213465508
0.3407311207,0.8471253735,1.4428040729,-0.6557604059,1.273670422,0.365992501234337,0.829095480421109,2.26648429038496,-0.52437359190566,1.50460488739649,20.5872192179682,28.5441767934056,197.751533424716,4.29091948183091,5.62109657352512,93.8239420705574,43.4961571033384,0.173032726211422,7.49826034397897,0.58795368810782
0.6276725814,0.8480356009,1.2530259055,-1.8713963736,-1.7986757847,0.637639049389552,0.797634615620687,1.18124152311425,-1.78858646744142,-1.78712884570695,17.3259544634414,12.2958367602548,18.3811855669482,14.2983077653925,4.38976554240728,63.2337995608347,137.894997810726,0.722624571953125,22.7381921857945,0.792448815088677
0.5433449314,0.4723089859,2.0545632066,-1.1683360482,-1.5731102083,0.544146638800318,0.398635647878036,1.6898821682307,-1.18520711397739,-1.39580490720924,15.391805773241,10.0642371270819,8.7269486661558,13.21765584596,3.73813056261023,81.3418650144563,83.0100033360026,0.114068264257898,32.5233606839265,0.967919961331237
0.3503343674,0.4226723281,4.9572582447,1.2701576201,1.1087931269,0.413611540205675,0.441978403897412,0.317057057867768,1.40201752280309,0.715535894619444,19.6727174332209,13.392563068479,19.2575792993655,3.13016824426437,16.6848865627932,46.2103120865341,81.4443660012553,-0.198655005662744,6.50679251350319,0.934976159805752
0.9359744223,0.4257452485,4.6748169232,-0.3115498671,-1.9088132475,0.866177527246887,0.464288524604831,1.79762248564041,-0.439555787435417,-0.975254947262954,12.951695362158,34.9054378354345,58.2110115756497,93.6482301271151,4.6122874097511,49.3632513204403,107.812177832452,0.0253938820032466,48.2559103193761,2.64452893068283
0.7027375236,0.5237565979,3.1880844969,-1.5205257602,0.498667744,0.75134165798082,0.525474489115458,2.12620626114534,-1.41623566533131,0.296744331772886,12.1265004660172,54.4102526849678,5.95780723100279,3.67539423552094,4.60527504829074,51.3770389123979,135.749358502229,0.156251603444983,17.3690426040901,6.16610265233411
0.0950782326,0.6311587127,3.3871452372,-1.833249974,0.1745703176,0.155771594840975,0.630516269443422,0.725554351074973,-1.51437649027538,0.226963598808498,10.296186674856,21.8329749687016,112.80772551525,4.82738149096443,2.61574406638685,160.472134390794,94.3360865204739,1.2800746073153,9.00632002998253,4.10115165533269
0.8985728671,0.6763198015,2.1126104117,0.9653750026,1.8363170298,0.910056360773855,0.644278527190409,1.83597695962736,1.14717144385361,1.48879909365949,227.72874891678,74.386024817826,17.1345089555242,33.6512932987868,3.34444906352622,24.5450619104343,106.795705736063,0.00253168047500624,26.8071963263037,4.35679789052981
