"true_a_rew","true_a_pun","true_K","true_omega_f","true_omega_p","infer_a_rew","infer_a_pun","infer_K","infer_omega_f","infer_omega_p","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
0.7045084049,0.2305837105,0.8673299698,1.5303146978,-0.5437450123,0.766764486779444,0.273109249950502,2.52756398649162,0.649131627934244,0.769708429693882,2,4,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,4,1,4,4,4,4,4,3,3,4,1,4,3,3,3,3,1,1,4,4,4,3,3,3,3,4,3,1,3,4,1,3,3,4,4,4,4,4,3,4,4,4,4,4,4,1,1,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3,3,1,3,1,3,3,3,3
0.0859997959,0.234811041,0.3540138558,-0.1699474291,1.1641407839,0.0482149199743329,0.351288528222467,1.52911957149957,-0.0190793887974516,2.91828792617406,2,1,4,4,3,3,3,3,3,3,1,1,4,2,2,3,3,3,3,3,3,3,1,2,3,2,2,2,2,1,2,4,4,2,4,4,1,2,1,4,1,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,4,4,3,3,3,4,3,3,3,4,4,4,3,3,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3
0.2968282411,0.7796450134,0.7628339052,0.7786934556,0.5736388559,0.243797675138308,0.941072333114323,0.487084881929355,1.14331034511098,1.81717974266344,2,2,1,4,4,3,4,4,2,4,3,2,4,4,2,2,2,2,2,4,4,2,1,2,3,3,3,3,3,3,3,3,1,3,3,3,4,4,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0.550755531,0.0052926895,3.5543811312,-1.0004301278,0.2099720901,0.948379730902014,0.0499401048330918,2.72816354772842,-1.28177622768798,0.532889679607154,2,1,3,4,4,2,2,1,3,3,1,1,2,2,1,1,1,1,1,4,4,2,2,2,2,1,1,1,1,1,1,2,1,1,1,2,2,4,4,2,2,2,2,1,4,4,1,1,4,4,4,2,2,2,1,1,2,2,2,1,1,2,2,2,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,2,2,1,1,2,2,1,1,1,1,2
0.713663217,0.7020806325,0.3070429951,1.9725510409,-0.8162045623,0.607946871804613,0.9114571748149,3.01448144532739,1.33293859334263,-0.000211529811220856,2,2,4,3,2,2,2,2,2,2,2,4,4,1,1,4,4,3,4,1,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,1,3,3,1,3,3,1,1,3,3,4,4,1,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3,3,1,3,3,3,3,3
0.8461144429,0.2677749074,1.6851702311,-0.1151472622,0.850787588,0.579797238744531,0.116064179309519,2.66448153953668,-0.164146924154644,0.833933410206334,2,4,1,1,3,4,4,3,1,1,1,3,4,4,1,1,2,1,1,1,1,1,1,4,3,2,4,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,4,1,3,3,4,1,1,1,4,2,3,3,3,3,3,2,2,2,4,2,2,1,2,2,1,1,4,4,2,2,1,2,2,2,2,2,2,2,1,3,3,3,1,1,1,1,1,1,3,4,4,4
0.7639718168,0.8865413202,4.3151572432,0.879018891,-1.0452325492,0.719303078164777,0.642915282905582,0.314372501187038,0.69220838552559,-0.36258285814081,2,2,2,2,2,2,2,2,2,2,3,3,1,1,1,1,1,4,4,4,4,1,4,4,4,4,4,1,4,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3,4,4,4,4,4,4,3,4,3,4,4,3,3,3,4,3,4,3,3,3,4,3,4,4,4,3,3,4,4,4,3,3,1,3,3,3,4,3,3,4,1,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3
0.4017246358,0.5440562263,1.8867447694,0.4718889915,-0.0138307641,0.212976163663894,0.34960520393934,2.77183915878059,0.332791220753576,0.807209613535454,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3
0.3128316194,0.3726331019,1.9238809707,-0.6018569126,-0.7638338851,0.451595215744579,0.359580193606093,2.10902184291601,-0.426926875076005,-1.04774227365704,2,2,1,1,2,2,2,4,2,2,2,2,2,2,2,2,1,2,1,2,4,4,4,1,1,1,1,4,3,4,4,1,3,1,3,1,1,1,1,4,3,4,4,4,3,4,3,3,3,4,3,4,3,4,4,3,3,3,3,4,3,4,4,3,4,3,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,3,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3
0.8220030364,0.1298460749,0.1779282332,-0.7233941169,-1.5717658899,0.944340383244037,0.0386563369581066,0.526558032189347,-1.04973740238454,-2.84030069674133,2,2,2,1,1,4,2,2,2,3,1,2,2,2,1,2,3,3,4,1,2,1,1,1,1,2,2,2,2,2,2,1,2,4,1,1,4,4,1,1,1,2,1,1,2,2,2,2,1,1,4,1,1,2,1,1,3,2,2,4,1,1,2,2,1,1,2,1,1,3,3,3,3,2,2,4,3,1,2,2,2,1,4,4,1,1,2,2,4,4,1,1,1,1,2,2,1,1,1,1
