card_number,win_A,win_B,win_C,win_D,loss_A,loss_B,loss_C,loss_D
1,100,100,50,50,0,0,0,0
2,120,80,60,40,0,0,0,0
3,80,110,40,45,150,0,50,0
4,90,120,55,45,0,0,0,0
5,110,90,55,55,300,0,50,0
6,100,100,45,60,0,0,0,0
7,80,90,50,40,200,0,50,0
8,120,120,45,55,0,0,0,0
9,110,110,60,50,250,1250,50,0
10,90,80,40,60,350,0,50,250
11,110,110,55,55,0,0,0,0
12,130,100,55,40,350,0,25,0
13,90,90,65,60,0,0,75,0
14,100,130,45,40,250,1500,0,0
15,120,120,70,45,200,0,25,0
16,110,130,40,55,0,0,0,0
17,90,110,50,65,300,0,25,0
18,130,90,60,70,150,0,75,0
19,120,100,70,50,250,0,0,0
20,100,120,40,70,0,0,50,275
21,120,120,60,60,250,1750,0,0
22,140,110,65,55,300,0,25,0
23,110,140,55,65,0,0,0,0
24,110,130,80,80,350,0,50,0
25,100,100,40,40,0,0,25,0
26,120,110,60,80,200,0,50,0
27,130,120,55,40,250,0,0,0
28,110,120,65,65,150,0,25,0
29,140,140,40,55,250,0,75,300
30,120,110,80,60,0,0,50,0
31,130,130,65,65,350,0,25,0
32,120,140,75,75,200,2000,0,0
33,140,120,55,60,250,0,25,0
34,130,110,60,65,250,0,25,0
35,110,130,70,75,150,0,25,325
36,150,150,65,85,0,0,0,0
37,140,110,55,45,150,0,75,0
38,120,150,75,55,300,0,25,0
39,150,120,45,70,350,0,50,0
40,110,140,85,55,0,0,75,0
41,140,140,70,70,350,0,25,0
42,130,150,80,80,200,0,0,0
43,150,130,60,65,250,0,25,0
44,140,120,65,70,250,0,25,0
45,120,140,75,80,150,0,25,350
46,160,160,70,90,0,2250,25,0
47,150,120,60,50,150,0,75,0
48,130,160,80,60,300,0,25,0
49,160,130,50,75,350,0,50,0
50,120,150,90,60,250,0,75,0
51,150,150,75,75,350,0,25,0
52,140,160,85,85,200,0,25,0
53,160,140,65,70,250,0,25,0
54,150,130,70,75,250,0,25,0
55,130,150,80,85,150,0,25,0
56,170,170,75,95,250,0,25,0
57,160,130,65,55,150,0,75,0
58,140,170,85,65,300,2500,25,375
59,170,140,55,80,350,0,50,0
60,130,160,95,65,250,0,75,0
